P_ID,Name_Pestal,Date_Pestel,Headline_Pestel,Description_Pestel
5865,Economic growth,2019-06-07,Irish business leaders’ trip to China offers glimpse of turbocharged economy," Delegation learned of opportunities and challenges of doing business in the high-growth region
            "
5866,Interest rates,2019-06-07,German industrial production plunges most in four years," Nation’s central bank has suggested a persistent slump in Europe’s largest economy
            "
5867,Inflation rates,2019-06-07,German industrial production plunges most in four years," Nation’s central bank has suggested a persistent slump in Europe’s largest economy
            "
5868,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5869,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5870,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5871,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5872,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5873,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5874,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5875,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5876,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5877,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5878,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5879,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5880,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5881,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5882,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5883,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5884,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5885,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5886,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5887,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5888,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5889,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5890,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5891,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5892,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5893,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5894,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5895,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5896,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5897,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5898,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5899,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5900,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5901,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5902,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5903,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5904,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5905,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5906,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5907,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5908,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5909,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5910,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5911,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5912,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5913,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5914,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5915,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5916,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5917,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5918,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5919,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5920,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5921,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5922,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5923,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5924,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5925,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5926,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5927,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5928,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5929,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5930,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5931,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5932,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5933,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5934,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5935,level+of+innovation,2019-06-07,Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
5936,Economic growth,2019-06-11,Wage growth accelerates to post-crash high of 3.3%," Latest earnings data suggests wage pressures in Irish economy are beginning to emerge
            "
5937,Economic growth,2019-06-11,UK jobs market performs better than expected," Number of people in work rose and basic pay growth unexpectedly accelerated
            "
5938,Interest rates,2019-06-11,UK jobs market performs better than expected," Number of people in work rose and basic pay growth unexpectedly accelerated
            "
5939,Inflation rates,2019-06-11,UK jobs market performs better than expected," Number of people in work rose and basic pay growth unexpectedly accelerated
            "
5940,Unemployment rates,2019-06-11,UK jobs market performs better than expected," Number of people in work rose and basic pay growth unexpectedly accelerated
            "
5941,Economic growth,2019-06-13,You have more money in your pocket but why doesn’t it feel like it?," Smart Money : As salaries increase, who is cashing in and why are many missing the feelgood factor
                    "
5942,Interest rates,2019-06-13,NTMA sells €1bn in bonds at a third of the interest rate set in January," Borrowing costs on the international markets have come down sharply so far this year
            "
5943,Inflation rates,2019-06-13,You have more money in your pocket but why doesn’t it feel like it?," Smart Money : As salaries increase, who is cashing in and why are many missing the feelgood factor
                    "
5944,Inflation rates,2019-06-13,NTMA sells €1bn in bonds at a third of the interest rate set in January," Borrowing costs on the international markets have come down sharply so far this year
            "
5945,Unemployment rates,2019-06-13,You have more money in your pocket but why doesn’t it feel like it?," Smart Money : As salaries increase, who is cashing in and why are many missing the feelgood factor
                    "
5946,Economic growth,2019-06-14,John FitzGerald: Unpicking global connections will be damaging for all," Populist politicians continue to blame globalisation and foreigners for society’s ills
            "
5947,Economic growth,2019-06-17,Euro zone wages rise at fastest pace in 10 years," Growth well above the rate of inflation
            "
5948,Economic growth,2019-06-17,EY increases forecast for Irish economic growth," Strong corporate tax receipts and more new jobs sees company raise prediction
            "
5949,Inflation rates,2019-06-17,Euro zone wages rise at fastest pace in 10 years," Growth well above the rate of inflation
            "
5950,government+policy,2019-06-18,"Banker accountability, a new energy provider and credit union saving caps explained"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5951,Economic growth,2019-06-18,Trade tensions may steer Fed towards monetary easing," Five things to watch out for in pivotal week
            "
5952,Interest rates,2019-06-18,Trade tensions may steer Fed towards monetary easing," Five things to watch out for in pivotal week
            "
5953,Inflation rates,2019-06-18,Trade tensions may steer Fed towards monetary easing," Five things to watch out for in pivotal week
            "
5954,Unemployment rates,2019-06-18,Trade tensions may steer Fed towards monetary easing," Five things to watch out for in pivotal week
            "
5955,Economic growth,2019-06-20,"Brexit already dragging on Ireland as consumption below par, ESRI says"," Personal consumption set to grow 2.5% this year despite uncertainty, institute says
            "
5956,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5957,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5958,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5959,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5960,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5961,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5962,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5963,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5964,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5965,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5966,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5967,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5968,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5969,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5970,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5971,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5972,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5973,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5974,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5975,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5976,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5977,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5978,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5979,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5980,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5981,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5982,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5983,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5984,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5985,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5986,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5987,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5988,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5989,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5990,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5991,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5992,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5993,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5994,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5995,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5996,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5997,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5998,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
5999,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6000,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6001,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6002,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6003,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6004,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6005,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6006,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6007,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6008,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6009,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6010,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6011,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6012,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6013,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6014,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6015,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6016,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6017,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6018,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6019,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6020,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6021,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6022,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6023,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6024,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6025,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6026,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6027,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6028,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6029,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6030,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6031,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6032,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6033,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6034,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6035,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6036,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6037,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6038,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6039,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6040,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6041,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6042,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6043,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6044,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6045,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6046,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6047,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6048,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6049,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6050,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6051,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6052,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6053,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6054,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6055,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6056,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6057,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6058,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
6059,Research+development,2019-06-20,"Vacant land tax and Brexit budget plans, Netflix price hike and Libra worries"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
